# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

nation|a large body of people united by common descent, history, culture, or language, inhabiting a particular country
national|relating to a nation;common to a whole nation
native|a person born in a specified place;associated with the place of a person's birth;innate
natural|existing in or derived from nature;not made by humankind;in accordance with the nature of a person
naturally|in a natural manner;as might be expected;of course
nature|the phenomena of the physical world collectively;the basic or inherent features of something;character
navy|the branch of a nation's armed services that conducts military operations at sea
near|at or to a short distance away;a short time away;almost
nearby|not far away;close
nearly|very close to;almost
neat|arranged in a tidy way;in good order;done with skill
necessarily|as a necessary result;inevitably
necessary|required to be done, achieved, or present;needed;essential
neck|the part of a person's or animal's body connecting the head to the rest of the body
need|require something because it is essential or very important;a thing that is wanted or required
needle|a small slender tool with a pointed end and a hole for thread;the pointed indicator on a dial
negative|consisting in or characterized by the absence rather than the presence of distinguishing features;a word expressing denial;a photographic image showing light and shade reversed
negotiate|try to reach an agreement or compromise by discussion with others;find a way over or through an obstacle
negotiation|discussion aimed at reaching an agreement
neighbor|a person living next door to or very near to the user
neighborhood|a district, especially one forming a community within a town or city;vicinity
neither|not the one nor the other of two people or things
nerve|a fiber or bundle of fibers that transmits impulses of sensation to the brain or spinal cord;courage
nervous|easily agitated or alarmed;anxious or apprehensive;relating to the nerves
net|a piece of open-meshed material;an amount remaining after deductions;the internet
network|an arrangement of intersecting horizontal and vertical lines;a group of interconnected people or things
never|at no time in the past or future;not ever
nevertheless|in spite of that;however;nonetheless
new|not existing before;made, introduced, or discovered recently
newly|recently;afresh;anew
news|newly received or noteworthy information, especially about recent events
newspaper|a printed publication consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence
next|coming immediately after the present one in time, order, or space;adjacent
nice|pleasant;attractive;delightful;kind
night|the period of darkness in each twenty-four hours;the time from sunset to sunrise
nine|the number equivalent to the sum of six and three;9
no|not any;a negative used to express dissent, denial, or refusal
nobody|no person;no one;a person of no importance
noise|a sound, especially one that is loud or unpleasant or that causes disturbance
none|not any;no one
nor|used before the second of two alternatives when the first is introduced by 'neither'
normal|conforming to a standard;usual, typical, or expected
normally|under normal or usual conditions;usually
north|the direction in which a compass needle normally points, toward the horizon on the left-hand side of a person facing east
northern|situated in or directed toward the north
nose|the part of the face which projects above the mouth and contains the nostrils, used for breathing and smelling
not|used with an auxiliary verb or 'be' to form the negative
note|a brief record of facts, topics, or thoughts;a single tone of definite pitch;a short informal letter
nothing|not anything;no single thing;of no importance
notice|the fact of observing or paying attention to something;become aware of;a formal announcement
notion|a conception of or belief about something;an idea;a whim
novel|a fictitious prose narrative of book length;new or unusual in an interesting way
november|the eleventh month of the year
now|at the present time or moment
nowhere|not in or to any place
nuclear|relating to the nucleus of an atom;relating to weapons developed from nuclear energy
number|an arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity
numerous|great in number;many
nurse|a person trained to care for the sick or infirm, especially in a hospital
nut|a fruit consisting of a hard or tough shell around an edible kernel
object|a material thing that can be seen and touched;a person or thing to which an action or feeling is directed;express disapproval
objective|a thing aimed at or sought;a goal;not influenced by personal feelings or opinions
obligation|a duty or commitment;the condition of being morally or legally bound to do something
observation|the action of observing something carefully in order to gain information;a remark or statement
observe|notice or perceive something;watch carefully;make a remark
observer|a person who watches or notices something;a person who attends a formal meeting without participating
obtain|get, acquire, or secure something
obvious|easily perceived or understood;clear, self-evident, or apparent
obviously|in a way that is easily perceived or understood;clearly
occasion|a particular time or instance of an event;a special event
occasionally|at infrequent or irregular intervals;now and then
occupation|a job or profession;the action of living in or using a building or area
occupy|reside or have one's place of business in a building;fill or take up a space, time, or position
occur|happen;take place;be found or present in a particular place or situation
ocean|a very large expanse of sea, in particular each of the main areas into which the sea is divided geographically
oclock|used to specify the hour when telling time
october|the tenth month of the year
odd|different from what is usual or expected;strange;a number that is not divisible by two
of|expressing the relationship between a part and a whole;indicating an association
off|away from the place in question;to a distance;no longer operating or connected
offense|a breach of a law or rule;an illegal act;annoyance or resentment brought about by a perceived insult
offer|present something for someone to accept or reject;an expression of readiness to do or give something
office|a room or building used as a place for commercial or professional work;a position of authority
officer|a person holding a position of command or authority in the armed services, the police, or a government department
official|relating to an authority or public body;a person holding public office
often|frequently;many times
oil|a viscous liquid derived from petroleum, especially for use as a fuel or lubricant;a fatty substance obtained from animals or plants
ok|used to express assent, agreement, or acceptance;all right
old|having lived for a long time;no longer young;belonging to the past
on|physically in contact with and supported by a surface;forming a part of a surface
once|on one occasion or for one time only;at some time in the past
one|the lowest cardinal number;half of two;a single person or thing
ongoing|continuing;still in progress
onion|a vegetable with a pungent taste and smell, composed of several concentric layers
online|connected to, served by, or available through a computer or telecommunications system, especially the internet
only|and no one or nothing more besides;solely;just
onto|moving to a position on the surface of something
open|allowing access, passage, or a view through an empty space;not closed or blocked up;begin
opening|a gap or aperture allowing access;a beginning;an opportunity
operate|control the functioning of a machine, process, or system;perform a surgical operation
operation|the action of functioning or the fact of being active or in effect;an act of surgery
operator|a person who operates equipment or a machine
opinion|a view or judgment formed about something, not necessarily based on fact or knowledge
opponent|someone who competes with or opposes another in a contest, game, or argument
opportunity|a set of circumstances that makes it possible to do something;a chance
oppose|disapprove of and attempt to prevent, especially by argument;actively resist
opposite|situated on the other or further side when seen from a particular point;completely different
opposition|resistance or dissent, expressed in action or argument;a group of opponents
option|a thing that is or may be chosen;the freedom or right to choose
or|used to link alternatives
orange|a large round juicy citrus fruit with a tough bright reddish-yellow rind;a reddish-yellow color
order|the arrangement of people or things in relation to each other;an authoritative command;a request for something to be made or supplied
ordinary|with no special or distinctive features;normal;common
organ|a part of an organism that is typically self-contained and has a specific vital function;a large musical keyboard instrument
organization|an organized body of people with a particular purpose, such as a business or government department
organize|arrange into a structured whole;order;coordinate the activities of
origin|the point or place where something begins, arises, or is derived
original|present or existing from the beginning;first or earliest;not a copy
originally|from or in the beginning;at first
other|used to refer to a person or thing that is different from one already mentioned;alternative
otherwise|in circumstances different from those present or considered;or else;in other respects
ought|used to indicate duty or correctness, typically when criticizing someone's actions
our|belonging to or associated with the speaker and one or more other people previously mentioned or easily identified
ourselves|used by a speaker to refer to themself and one or more other people as the object of a verb or preposition
out|moving or appearing to move away from a particular place;not at home or at one's place of work
outcome|the way a thing turns out;a consequence;a result
outside|the external side or surface of something;situated on or near the exterior
oven|an enclosed compartment, usually part of a cooker, for baking or heating food
over|extending directly upward from;at a higher level;above;finished
overall|taking everything into account;as a whole;a garment consisting of trousers with a bib attached
overcome|succeed in dealing with a problem or difficulty;defeat
owe|have an obligation to pay or repay something, especially money, in return for something received
own|have something as one's own;possess;admit or acknowledge that something is the case
owner|a person who owns something
pace|a single step taken when walking or running;a consistent speed in running or working
pack|a container, especially a bundle or box;a group of wild animals, especially wolves;fill a container
package|an object or group of objects wrapped in paper or packed in a box
page|one side of a sheet of paper in a book, magazine, or newspaper
pain|a highly unpleasant physical sensation caused by illness or injury;mental suffering
paint|a colored substance which is spread over a surface and dries to leave a thin decorative or protective coating
painting|the action or skill of using paint;a painted picture
pair|a set of two things used together or regarded as a unit
palace|the official residence of a sovereign or other exalted person
pale|light in color or having little color;feeble or unimpressive
pan|a metal container used for cooking food in
panel|a flat component that forms part of a larger object;a small group of people brought together to discuss or decide something
pants|an outer garment covering the body from the waist to the ankles, with a separate part for each leg;trousers
paper|material manufactured in thin sheets from wood pulp, used for writing, printing, or as wrapping material
parent|a father or mother;an ancestor
park|a large public garden in a town, used for recreation;bring a vehicle to a halt and leave it temporarily
parliament|the highest legislature, consisting of the sovereign, the House of Lords, and the House of Commons
part|a piece or portion of something;some but not all of something
participate|take part in an action or event
particular|relating to one specific person or thing;special;insisting that something should be correct
particularly|to a higher degree than is usual;especially
partner|a person who takes part in an undertaking with another or others, especially in a business
party|a social gathering of invited guests;a formally constituted political group
pass|move or cause to move in a specified direction;go past or across;succeed in an examination
passage|the action of moving through or past something;a narrow way allowing access between buildings
passenger|a traveler on a public or private conveyance other than the driver, pilot, or crew
passion|strong and barely controllable emotion;an intense desire or enthusiasm for something
past|gone by in time and no longer existing;the time before the moment of speaking or writing
patch|a piece of cloth used to mend a tear;a small area differing from the rest;a small plot of land
path|a way or track laid down for walking or made by continual treading
patient|able to accept or tolerate delays or problems without becoming annoyed;a person receiving medical treatment
pattern|a repeated decorative design;a model or design used as a guide
pause|interrupt action or speech briefly;a temporary stop
pay|give someone money that is due for work done, goods received, or a debt incurred
payment|the action or process of paying someone or something;an amount paid
peace|freedom from disturbance;tranquility;a state or period in which there is no war
peak|the pointed top of a mountain;the point of highest activity, achievement, or intensity
pen|an instrument for writing or drawing with ink
penalty|a punishment imposed for breaking a law, rule, or contract
pencil|an instrument for writing or drawing, consisting of a thin stick of graphite enclosed in wood
penny|a British bronze coin and monetary unit equal to one-hundredth of a pound
people|human beings in general or considered collectively;the persons of a particular nation or ethnic group
pepper|a pungent, hot-tasting powder prepared from dried and ground peppercorns, used as a spice
per|for each (used with units to express a rate)
perceive|become aware or conscious of something;come to realize or understand
percentage|a rate, number, or amount in each hundred
perception|the ability to see, hear, or become aware of something through the senses;a way of regarding something
perfect|having all the required or desirable elements, qualities, or characteristics;as good as it is possible to be
perfectly|in a perfect way;completely;absolutely
perform|carry out, accomplish, or fulfill an action, task, or function
performance|an act of staging or presenting a play, concert, or other form of entertainment;the action or process of carrying out a task
perhaps|possibly but not certainly;maybe
period|a length or portion of time;a punctuation mark (.) indicating the end of a sentence
permanent|lasting or intended to last or remain unchanged indefinitely
permission|official consent;authorization
permit|officially allow someone to do something;an official document giving someone authorization
person|a human being regarded as an individual
personal|of, affecting, or belonging to a particular person rather than to anyone else
personality|the combination of characteristics or qualities that form an individual's distinctive character
personally|by a particular person and not someone else;in one's own opinion
perspective|a particular attitude toward or way of regarding something;a point of view
persuade|cause someone to do something through reasoning or argument
pet|a domestic or tamed animal kept for companionship or pleasure
phase|a distinct period or stage in a series of events or a process of change or development
philosophy|the study of the fundamental nature of knowledge, reality, and existence
phone|a telephone;make a telephone call to
photo|a photograph
photograph|a picture made using a camera, in which an image is focused onto film or other light-sensitive material
phrase|a small group of words standing together as a conceptual unit, typically forming a component of a clause
physical|relating to the body as opposed to the mind;relating to things perceived through the senses
physically|in a way that relates to the body or to the laws of nature
physics|the branch of science concerned with the nature and properties of matter and energy
piano|a large keyboard musical instrument with a wooden case enclosing a soundboard and metal strings
pick|choose someone or something from a number of alternatives;detach and remove a flower or fruit from where it is growing
picture|a painting, drawing, or photograph of someone or something
piece|a part or portion of something;a musical or written work
pig|a domestic swine, kept for its meat
pile|a heap of things laid or lying one on top of another
pilot|a person who operates the flying controls of an aircraft
pin|a thin piece of metal with a sharp point at one end and a round head at the other, used as a fastener
pink|a color intermediate between red and white, as of pale roses
pipe|a tube of metal, plastic, or other material used to convey water, gas, oil, or other fluid substances
pitch|the quality of a sound governed by the rate of vibrations producing it;the degree of highness or lowness of a tone;throw a ball
place|a particular position or point in space;a portion of space occupied by or set aside for someone or something
plan|a detailed proposal for doing or achieving something;an intention or decision about what one is going to do
plane|a flat surface on which a straight line joining any two points on it would wholly lie;an airplane
planet|a celestial body moving in an elliptical orbit around a star
planning|the process of making plans for something
plant|a living organism of the kind exemplified by trees, shrubs, herbs, etc.;place a seed or plant in the ground to grow
plastic|a synthetic material made from a wide range of organic polymers that can be molded into shape while soft
plate|a flat dish, typically circular, from which food is eaten or served
platform|a raised level surface on which people or things can stand
play|engage in activity for enjoyment and recreation;a dramatic work for the stage or to be broadcast
player|a person taking part in a sport or game
please|cause to feel happy and satisfied;a polite word used in a request
pleasure|a feeling of happy satisfaction and enjoyment
plenty|a large or sufficient amount or quantity;more than enough
plot|the main events of a play, novel, or similar work;a plan made in secret by a group of people to do something illegal
plus|with the addition of;an advantage
pocket|a small bag sewn into or on clothing, so as to form part of it, used for carrying small articles
poem|a piece of writing in which the expression of feelings and ideas is given intensity by the use of distinctive style and rhythm
poet|a person who writes poems
poetry|literary work in which the expression of feelings and ideas is given intensity by the use of distinctive style and rhythm
point|the tapered, sharp end of a tool or weapon;a particular spot, place, or position;direct someone's attention to something
pole|a long, slender, rounded piece of wood or metal, typically used as a support
police|the civil force of a state, responsible for the prevention and detection of crime and the maintenance of public order
policy|a course or principle of action adopted or proposed by a government, party, business, or individual
political|relating to the government or public affairs of a country
politically|in a way that relates to politics or the public affairs of a country
politician|a person who is professionally involved in politics, especially as a holder of an elected office
politics|the activities associated with the governance of a country or other area
poll|the process of voting in an election;a survey of public opinion
pollution|the presence in or introduction into the environment of a substance which has harmful or poisonous effects
pool|a small area of still water, either natural or artificial;a swimming pool;a supply of shared resources
poor|lacking sufficient money to live at a standard considered comfortable or normal;of a low or inferior standard
pop|make a light explosive sound;popular music
popular|liked, admired, or enjoyed by many people or by a particular person or group
population|all the inhabitants of a particular town, area, or country
port|a town or city with a harbor where ships load or unload
pose|present or constitute a problem or danger;assume a particular attitude or position in order to be photographed or painted
position|a place where someone or something is located or has been put;a particular way in which someone or something is placed or arranged
positive|consisting in or characterized by the presence of features rather than their absence;constructive and optimistic
possess|have as belonging to one;own;have a quality or feature
possession|the state of having, owning, or controlling something
possibility|a thing that may happen or be the case;the state or fact of being possible
possible|able to be done or achieved
possibly|perhaps;maybe
post|a long, sturdy piece of timber or metal set upright in the ground;the official service that delivers letters and parcels;publish something online
pot|a rounded or cylindrical container, used for storage or cooking
potato|a starchy plant tuber which is one of the most important food crops, cooked and eaten as a vegetable
potential|having or showing the capacity to become or develop into something in the future;latent qualities
pound|a unit of weight equal to 16 oz;the basic monetary unit of the UK;strike or hit heavily and repeatedly
pour|flow rapidly in a steady stream;dispense a drink into a container
poverty|the state of being extremely poor
powder|a dry, fine substance obtained by grinding, crushing, or disintegrating a solid substance
power|the ability to do something or act in a particular way;the capacity to influence the behavior of others
powerful|having great power or strength
practical|of or concerned with the actual doing or use of something rather than with theory and ideas
practice|the actual application or use of an idea or method;perform an activity repeatedly in order to improve
pray|address a solemn request or expression of thanks to a deity or other object of worship
prayer|a solemn request for help or expression of thanks addressed to God or another deity
precisely|in exact terms;without vagueness;exactly
predict|say or estimate that a specified thing will happen in the future or will be a consequence of something
prefer|like one thing or person better than another or others;tend to choose
preference|a greater liking for one alternative over another or others
pregnancy|the condition or period of being pregnant
pregnant|having a child or young developing in the uterus
preparation|the action or process of making ready or being made ready for use or consideration
prepare|make something ready for use or consideration;make oneself ready
prescription|an instruction written by a medical practitioner that authorizes a patient to be provided a medicine or treatment
presence|the state or fact of existing, occurring, or being present in a place or thing
present|in a particular place;existing or occurring now;a thing given to someone as a gift;introduce
presentation|the giving of something to someone;a speech or talk in which a new product, idea, or piece of work is shown
preserve|maintain something in its original or existing state;treat food to prevent its decomposition
president|the elected head of a republican state
press|move into a position of contact with something by exerting continuous physical force;newspapers or journalists viewed collectively
pressure|continuous physical force exerted on or against an object by something in contact with it;the use of persuasion or intimidation to make someone do something
pretend|speak and act so as to make it appear that something is the case when in fact it is not
pretty|attractive in a delicate way without being truly beautiful;to a moderately high degree
prevent|keep something from happening or arising
previous|existing or occurring before in time or order
previously|at a previous or earlier time;before
price|the amount of money expected, required, or given in payment for something
pride|a feeling of deep pleasure or satisfaction derived from one's own achievements or qualities
priest|an ordained minister of the Catholic, Orthodox, or Anglican Church having the authority to perform certain rites
primarily|for the most part;mainly
primary|of chief importance;principal;earliest in time or order
prime|of first importance;main;of the best possible quality
prince|the son of a monarch
princess|the daughter of a monarch
principal|first in order of importance;main;the head of a school
principle|a fundamental truth or proposition that serves as the foundation for a system of belief or behavior
print|produce books, newspapers, etc., by a process involving the transfer of text or images to paper
prior|existing or coming before in time, order, or importance
priority|a thing that is regarded as more important than another
prison|a building in which people are legally held as a punishment for a crime or while awaiting trial
prisoner|a person legally held in prison as a punishment for a crime or while awaiting trial
privacy|a state in which one is not observed or disturbed by other people
private|for or concerning an individual person or group rather than the public
probably|almost certainly;as far as one knows or can tell
problem|a matter or situation regarded as unwelcome or harmful and needing to be dealt with and overcome
procedure|an established or official way of doing something
proceed|begin or continue a course of action
process|a series of actions or steps taken in order to achieve a particular end
produce|make or manufacture from components or raw materials;cause a particular result
producer|a person, company, or country that makes, grows, or supplies goods or commodities for sale
product|an article or substance that is manufactured or refined for sale
production|the action of making or manufacturing from components or raw materials;the amount of something made
profession|a paid occupation, especially one that involves prolonged training and a formal qualification
professional|relating to or belonging to a profession;a person engaged in a specified activity as one's main paid occupation
professor|a university academic of the highest rank;a teacher of the highest rank
profile|an outline of something, especially a person's face, as seen from one side;a short article giving a description of a person
profit|a financial gain, especially the difference between the amount earned and the amount spent
program|a planned series of future events or performances;a set of related measures or activities with a particular long-term aim;a series of coded software instructions to control a computer
progress|forward or onward movement toward a destination;development towards an improved condition
project|an individual or collaborative enterprise that is carefully planned to achieve a particular aim;estimate or forecast on the basis of present trends
prominent|important;famous;projecting from something
promise|a declaration or assurance that one will do a particular thing or that a particular thing will happen
promote|further the progress of something;raise someone to a higher position or rank
prompt|cause or bring about an action or feeling;done without delay;immediate
proof|evidence or argument establishing or helping to establish a fact or the truth of a statement
proper|truly what something is said to be;genuine;appropriate or correct
properly|correctly or satisfactorily;in the right way
property|a thing or things belonging to someone;possessions collectively;an attribute or quality
proportion|a part, share, or number considered in comparative relation to a whole
proposal|a plan or suggestion, especially a formal or written one, put forward for consideration
propose|put forward an idea or plan for consideration or discussion by others
proposed|suggested as a possible plan or action for consideration
prospect|the possibility or likelihood of some future event occurring
protect|keep safe from harm or injury
protection|the action of protecting, or the state of being protected
protein|any of a class of nitrogenous organic compounds which have large molecules and are an essential part of all living organisms
protest|a statement or action expressing disapproval of or objection to something
proud|feeling deep pleasure or satisfaction as a result of one's own achievements, qualities, or possessions
prove|demonstrate the truth or existence of something by evidence or argument
provide|make available for use;supply
provider|a person or thing that provides something
province|a principal administrative division of certain countries or empires
provision|the action of providing or supplying something for use;a condition in a legal document
psychological|of, affecting, or arising in the mind;related to the mental and emotional state of a person
psychologist|an expert or specialist in psychology
psychology|the scientific study of the human mind and its functions, especially those affecting behavior in a given context
public|of or concerning the people as a whole;open to all
publication|the preparation and issuing of a book, journal, piece of music, or other work for public sale
publicly|so as to be seen by other people;in public;openly
publish|prepare and issue a book, journal, etc. for public sale
publisher|a person or company that prepares and issues books, journals, music, or other works for sale
pull|exert force on someone or something so as to cause movement toward oneself
punishment|the infliction or imposition of a penalty as retribution for an offense
purchase|acquire something by paying for it;buy
pure|not mixed or adulterated with any other substance or material
purpose|the reason for which something is done or created or for which something exists
pursue|follow someone or something in order to catch or attack them;continue or proceed along a path
push|exert force on someone or something in order to move them away from oneself
put|move to or place in a particular position
qualification|a quality or accomplishment that makes someone suitable for a particular job or activity;the action of qualifying
qualify|be entitled to a particular benefit or privilege by fulfilling a necessary condition;be or make competent for a particular job
quality|the standard of something as measured against other things of a similar kind;a distinctive attribute or characteristic
quantity|the amount or number of a material or abstract thing that can be measured
quarter|each of four equal or corresponding parts into which something is divided;a period of three months;a coin worth 25 cents
queen|the female ruler of an independent state, especially one who inherits the position by right of birth
question|a sentence worded or expressed so as to elicit information;a matter forming the basis of a problem or argument;ask someone questions
quick|moving fast or doing something in a short time;prompt
quickly|at a fast speed;rapidly
quiet|making little or no noise;free from activity or disturbance
quietly|in a way that makes little or no noise;without attracting attention
quit|leave a place, usually permanently;stop or discontinue an action or activity
quite|to the greatest extent;completely;to a certain or significant extent;moderately
quote|repeat or copy out a group of words from a text or speech, typically with an indication that one is not the original author or speaker;a quotation
race|a competition between runners, horses, vehicles, etc., to see which is the fastest;each of the major divisions of humankind
racial|relating to race or the relations between different racial groups
radical|relating to or affecting the fundamental nature of something;far-reaching;advocating thorough political or social reform
radio|the transmission and reception of electromagnetic waves, especially those carrying sound messages
rail|a bar or series of bars fixed on upright supports or posts as part of a fence or as a barrier
rain|moisture condensed from the atmosphere that falls visibly in separate drops
raise|lift or move to a higher position or level;bring up a child;increase the amount or level of something
range|the area of variation between upper and lower limits on a particular scale;a set of different things of the same general type
rank|a position in the hierarchy of an organization, especially the armed forces
rapid|happening in a short time or at a fast pace;swift
rapidly|very quickly;at a great rate
rare|not occurring very often;uncommon
rarely|not often;seldom
rate|a measure, quantity, or frequency, typically one measured against some other quantity or measure
rather|used to express a preference;to a certain extent
rating|a classification or ranking of someone or something based on a comparative assessment of their quality
ratio|the quantitative relation between two amounts showing the number of times one value contains or is contained within the other
raw|not cooked;in its natural state;unprocessed
reach|stretch out an arm in a specified direction in order to touch or grasp something;arrive at a place
react|act in response to something;respond in a particular way
reaction|an action performed or a feeling experienced in response to a situation or event
read|look at and comprehend the meaning of written or printed matter
reader|a person who reads or who is fond of reading
reading|the action or skill of reading;material that is read
ready|in a suitable state for an action or situation;fully prepared
real|actually existing as a thing or occurring in fact;not imagined or supposed;genuine
reality|the state of things as they actually exist, as opposed to an idealistic or notional idea of them
realize|become fully aware of something as a fact;understand clearly;achieve something desired
really|in actual fact, as opposed to what is said or imagined;in truth;very
reason|a cause, explanation, or justification for an action or event;the power of the mind to think and understand logically
reasonable|having sound judgment;fair and sensible;as much as is appropriate or fair
recall|bring a fact, event, or situation back into one's mind;remember
receive|be given, presented with, or paid something
recent|having happened, begun, or been done not long ago
recently|not long ago;at a recent time
reception|the action or process of receiving something sent or given;a formal social occasion
recipe|a set of instructions for preparing a particular dish, including a list of the ingredients required
recognize|identify someone or something from having encountered them before;acknowledge the existence or validity of
recommend|put forward someone or something with approval as being suitable for a particular purpose or role
recommendation|a suggestion or proposal as to the best course of action
record|a thing constituting a piece of evidence about the past;set down in writing or some other permanent form for later reference
recording|the action or process of recording sound or a performance for subsequent reproduction or broadcast
recover|return to a normal state of health, mind, or strength
recovery|a return to a normal state of health, mind, or strength
recruit|enlist someone in the armed forces;a new member of a group or organization
red|of a color at the end of the spectrum next to orange and opposite violet, as of blood
reduce|make smaller or less in amount, degree, or size
reduction|the action or fact of making a specified thing smaller or less in amount, degree, or size
refer|mention or allude to;pass a matter to an authority for a decision
reference|the action of mentioning or alluding to something;a source of information
reflect|throw back heat, light, or sound without absorbing it;think deeply or carefully about
reflection|the throwing back by a body or surface of light, heat, or sound;serious thought or consideration
reform|make changes in something, typically a social or political institution, in order to improve it
refugee|a person who has been forced to leave their country in order to escape war, persecution, or natural disaster
refuse|indicate or show that one is not willing to do something;indicate that one is not willing to accept something
regard|consider or think of in a specified way;attention to or concern for something
regarding|in respect of;concerning
regardless|without paying attention to the present situation;despite the circumstances
regime|a government, especially an authoritarian one
region|an area of a country or the world having definable characteristics but not always fixed boundaries
regional|of or relating to a region
register|enter or record on an official list or directory;an official list or record
regular|arranged in or constituting a constant or definite pattern;done or happening frequently
regularly|at uniform intervals of time or space;often
regulate|control or maintain the rate or speed of a machine or process so that it operates properly
regulation|a rule or directive made and maintained by an authority
reinforce|strengthen or support, especially with additional personnel or material
reject|dismiss as inadequate, inappropriate, or not to one's taste
relate|make or show a connection between;have reference to
related|belonging to the same family, group, or type;connected
relation|the way in which two or more concepts, objects, or people are connected;a relative
relationship|the way in which two or more people or things are connected, or the state of being connected
relative|considered in relation or proportion to something else;a person connected by blood or marriage
relax|make or become less tense or anxious
release|allow or enable to escape from confinement;set free;make available to the public
relevant|closely connected or appropriate to what is being done or considered
relief|a feeling of reassurance and relaxation following release from anxiety or distress
religion|the belief in and worship of a superhuman controlling power, especially a personal God or gods
religious|relating to or believing in a religion
rely|depend on with full trust or confidence
remain|continue to exist, especially after other similar people or things have ceased to exist
remaining|still in existence, present, or available
remarkable|worthy of attention;striking;extraordinary
remember|have in or be able to bring to one's mind an awareness of someone or something from the past
remind|cause someone to remember someone or something
remote|situated far from the main centers of population;distant
remove|take something away or off from the position occupied
rent|a tenant's regular payment to a landlord for the use of property or land
repair|restore something damaged, faulty, or worn to a good condition
repeat|say again something one has already said;do something again
replace|take the place of;put something back in a previous place or position
reply|say something in response to something someone has said;an answer
report|give a spoken or written account of something that one has observed, heard, done, or investigated
reporter|a person who reports news or conducts interviews for newspapers or broadcasts
represent|be entitled or appointed to act or speak for someone;constitute or amount to
representation|the action of speaking or acting on behalf of someone;the description or portrayal of someone or something
representative|typical of a class or group;a person chosen to act or speak for another or others
republican|relating to or characteristic of a republic;a person advocating or supporting republican government
reputation|the beliefs or opinions that are generally held about someone or something
request|an act of asking politely or formally for something
require|need for a particular purpose;demand as necessary
requirement|a thing that is needed or wanted;a necessary condition
research|the systematic investigation into and study of materials and sources in order to establish facts and reach new conclusions
researcher|a person who carries out academic or scientific research
resemble|have qualities or features, especially those of appearance, in common with someone or something
reservation|the action of reserving something;a qualification to an expression of agreement or approval
resident|a person who lives somewhere on a long-term basis
resist|withstand the action or effect of;try to prevent by action or argument
resistance|the refusal to accept or comply with something;the ability not to be affected by something
resolution|a firm decision to do or not to do something;the quality of being determined
resolve|settle or find a solution to a problem or contentious matter;decide firmly on a course of action
resort|a place that is a popular destination for vacations or recreation;the action of turning to and adopting a strategy
resource|a stock or supply of money, materials, staff, and other assets that can be drawn on
respect|a feeling of deep admiration for someone or something elicited by their abilities, qualities, or achievements
respond|say something in reply;react quickly or positively to a stimulus
respondent|a defendant in a lawsuit, especially one in an appeals or divorce case
response|a verbal or written answer
responsibility|the state or fact of having a duty to deal with something or of having control over someone
responsible|having an obligation to do something, or having control over or care for someone, as part of one's job or role
rest|cease work or movement in order to relax, refresh oneself, or recover strength;the remaining part of something
restaurant|a place where people pay to sit and eat meals that are cooked and served on the premises
restore|bring back a previous state, practice, or situation;return to a former condition
restrict|put a limit on;keep under control
restriction|a limiting condition or measure, especially a legal one
result|a consequence, effect, or outcome of something
retain|continue to have something;keep possession of;absorb and continue to hold a substance
retire|leave one's job and cease to work, typically upon reaching the normal age for leaving service
retirement|the action or fact of leaving one's job and ceasing to work
return|come or go back to a place or person;give, put, or send something back
reveal|make previously unknown or secret information known to others
revenue|income, especially when of a company or organization and of a substantial nature
review|a formal assessment of something with the intention of instituting change if necessary;examine or assess formally
revolution|a forcible overthrow of a government or social order in favor of a new system;a dramatic and wide-reaching change
rhythm|a strong, regular repeated pattern of movement or sound
rice|a swamp grass which is widely cultivated as a source of food, especially in Asia
rich|having a great deal of money or assets;wealthy;plentiful
rid|make someone or something free of an unwanted person or thing
ride|sit on and control the movement of an animal, typically a horse;be carried or travel on or in a vehicle
rifle|a gun, especially one fired from shoulder level, having a long spirally grooved barrel to make a bullet spin
right|morally good, justified, or acceptable;true or correct as a matter of fact;the direction opposite of left
ring|a small circular band, typically of precious metal, worn on a finger;a sound made by a bell
rise|move from a lower position to a higher one;come or go up;an increase in number, size, or quality
risk|a situation involving exposure to danger;the possibility that something unpleasant will happen
river|a large natural stream of water flowing in a channel to the sea, a lake, or another such stream
road|a wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use
rock|the solid mineral material forming part of the surface of the earth and other similar planets;move gently to and fro
role|an actor's part in a play, movie, etc.;the function assumed or part played by a person or thing in a particular situation
roll|move in a particular direction by turning over and over on an axis;a cylinder formed by turning flexible material over and over on itself
romantic|of, characterized by, or suggestive of an idealized view of reality;conducive to or characterized by the expression of love
roof|the structure forming the upper covering of a building or vehicle
room|space that can be occupied or where something can be done;a part of a building enclosed by walls, a floor, and a ceiling
root|the part of a plant which attaches it to the ground, conveying water and nourishment;the basic cause, source, or origin of something
